Day,Mean,Median,Std,Variance,Minimum,Maximum
1,0.006321785,0.0,0.14223655,0.020231234,0.0,6.7022595
2,0.055043507,0.0,0.51456237,0.2647744,0.0,10.737739
3,0.2057505,0.0,1.1895518,1.4150335,0.0,19.746922
4,0.12342886,0.0,1.016136,1.0325325,0.0,16.36947
5,0.007578206,0.0,0.06889566,0.0047466117,0.0,1.7229657
6,0.15746799,0.0,1.6037773,2.5721016,0.0,26.750107
7,0.16557996,0.0,1.2385501,1.5340064,0.0,14.979895
8,0.034699973,0.0,0.35436028,0.1255712,0.0,8.151921
9,3.3803557e-05,0.0,0.0023814118,5.671122e-06,0.0,0.16780086
10,0.14199488,0.0,2.0674777,4.274464,0.0,62.775005
11,0.102048054,0.0,1.6306436,2.6589987,0.0,68.4494
12,0.008906639,0.0,0.1636495,0.02678116,0.0,6.7049046
13,0.0006042565,0.0,0.02188217,0.00047882937,0.0,1.1065466
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.006134943,0.0,0.07730604,0.0059762243,0.0,1.3000001
16,0.014903895,0.0,0.20472227,0.041911207,0.0,5.5729327
17,0.004427114,0.0,0.18648663,0.034777265,0.0,10.688225
18,0.026769202,0.0,0.21445864,0.04599251,0.0,4.645958
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.010299764,0.0,0.12997335,0.016893074,0.0,3.1664805
24,0.94058174,0.0,3.5822551,12.832551,0.0,40.246403
25,0.3134915,0.0,1.8436656,3.399103,0.0,20.761282
26,0.060639523,0.0,0.41555095,0.1726826,0.0,7.8501496
27,0.21726163,0.0,1.3479875,1.8170704,0.0,18.717442
28,0.04569306,0.0,0.388991,0.151314,0.0,5.1959047
29,7.8579746e-05,0.0,0.00553583,3.064541e-05,0.0,0.39006984
30,0.07729627,0.0,0.5143817,0.26458853,0.0,4.9999995
31,0.04612371,0.0,0.2945582,0.08676454,0.0,3.7124887
32,0.14518173,0.0,0.8546445,0.73041713,0.0,13.561499
33,0.008609003,0.0,0.115215614,0.013274638,0.0,4.8069324
34,0.028497744,0.0,0.21459721,0.04605196,0.0,3.0672286
35,0.24548885,0.0,1.7458503,3.0479932,0.0,16.787718
36,0.11649696,0.0,1.0001944,1.0003889,0.0,14.200001
37,0.07521981,0.0,0.68204594,0.46518666,0.0,10.150364
38,0.07773411,0.0,0.84380573,0.7120081,0.0,32.961056
39,0.59805894,0.0,3.649305,13.317428,0.0,58.56232
40,0.25942427,0.0,2.415008,5.8322635,0.0,45.051636
41,0.30736268,0.0,2.8462293,8.101021,0.0,74.2
42,0.04540636,0.0,0.38491714,0.1481612,0.0,9.6
43,1.5045793,0.0,3.7589602,14.129783,0.0,33.973274
44,2.517848,0.0,7.5256815,56.635883,0.0,98.040016
45,0.59963036,0.0,2.627656,6.9045763,0.0,38.4
46,0.32576117,0.0,1.9903336,3.9614275,0.0,30.1464
47,0.024861265,0.0,0.24095124,0.0580575,0.0,3.3999963
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.07085512,0.0,0.8577912,0.7358057,0.0,13.777289
50,0.34452048,0.0,3.4583967,11.960507,0.0,55.731857
51,0.02530465,0.0,0.27194515,0.073954165,0.0,4.0
52,0.13292286,0.0,0.87611955,0.7675855,0.0,9.999999
53,0.07342024,0.0,0.7396939,0.54714704,0.0,26.494537
54,0.29236934,0.0,1.6744219,2.8036888,0.0,29.59096
55,0.14683245,0.0,0.61662626,0.38022798,0.0,9.502169
56,1.1298236,0.0,4.1022067,16.828098,0.0,49.545116
57,0.41347036,0.0,1.9440523,3.7793393,0.0,32.846214
58,0.6206431,0.0,2.8107388,7.9002523,0.0,44.60396
59,0.00071563025,0.0,0.013559296,0.0001838545,0.0,0.36015257
60,0.04670252,0.0,0.3763556,0.14164352,0.0,8.85143
61,0.58163476,0.0,2.754322,7.5862894,0.0,27.323292
62,1.7852769,0.0,6.70264,44.92538,0.0,58.364098
63,1.1919291,0.0,3.899541,15.206419,0.0,45.543224
64,0.84645927,0.0,3.900242,15.211889,0.0,41.49642
65,0.7885884,0.0,5.1487894,26.51003,0.0,77.05629
66,0.6376552,0.0,4.2410784,17.986748,0.0,54.87646
67,0.0022310917,0.0,0.04642679,0.002155447,0.0,1.7905241
68,0.021320188,0.0,0.22384295,0.05010567,0.0,5.2995534
69,0.09288746,0.0,0.87714505,0.7693835,0.0,14.309887
70,0.054157555,0.0,0.4319107,0.18654685,0.0,12.101953
71,0.03657869,0.0,0.4004482,0.16035876,0.0,14.523556
72,0.35810143,0.0,2.0548499,4.2224083,0.0,30.229559
73,0.793933,0.0,5.2287984,27.340332,0.0,186.52284
74,0.8045875,0.0,3.7148612,13.800193,0.0,56.507477
75,2.543265,0.0,8.387404,70.34855,0.0,89.2
76,2.556769,0.0,8.148973,66.40577,0.0,107.518196
77,1.2352723,0.0,5.5061607,30.317804,0.0,64.10467
78,0.38504207,0.0,2.3289428,5.423975,0.0,51.74384
79,0.13193062,0.0,1.2670927,1.6055238,0.0,28.356716
