Day,Mean,Median,Std,Variance,Minimum,Maximum
87,0.20548835,0.0,2.115495,4.4753194,0.0,58.33484
88,0.4120913,0.0,2.1997895,4.8390737,0.0,50.059628
89,1.8990936,0.0,9.248553,85.53574,0.0,128.45258
90,2.5121877,0.0,14.935944,223.0824,0.0,245.04817
91,2.0566535,0.0,9.165284,84.00243,0.0,188.62057
92,2.821851,0.0,11.242421,126.39204,0.0,175.82224
93,3.5361266,0.0,15.296167,233.97275,0.0,158.63124
94,2.4167855,0.0,9.534876,90.91386,0.0,111.77158
95,2.79891,0.0,8.207969,67.37075,0.0,124.3455
96,4.6423354,0.0,12.66418,160.38144,0.0,87.09861
97,2.7504692,0.0,7.7644596,60.286835,0.0,74.707306
98,1.1919115,0.0,3.8248713,14.62964,0.0,44.088448
99,1.0827173,0.0,5.2944756,28.031471,0.0,68.87156
100,1.1037903,0.0,6.4365573,41.429268,0.0,83.700005
101,0.3262881,0.0,2.78389,7.7500434,0.0,43.718468
102,0.10498109,0.0,0.9120379,0.83181316,0.0,20.898266
103,0.036291253,0.0,0.57415503,0.329654,0.0,21.045395
104,0.07822311,0.0,0.97247446,0.94570655,0.0,22.482655
105,0.13706726,0.0,1.4774063,2.1827292,0.0,45.243645
106,0.9263866,0.0,3.9271936,15.422851,0.0,69.48535
107,0.33728397,0.0,2.114603,4.471546,0.0,44.87745
108,0.16250305,0.0,1.5959878,2.547177,0.0,38.46294
109,0.71097744,0.0,4.049781,16.400724,0.0,65.2488
110,1.9813253,0.0,6.980589,48.728622,0.0,101.57859
111,1.5881029,0.0,5.386299,29.012218,0.0,111.38902
112,2.5274835,0.0,10.2777,105.63112,0.0,162.43506
113,2.0356114,0.0,7.203428,51.889374,0.0,107.91054
114,2.619967,0.0,6.3321013,40.095505,0.0,73.08625
115,2.2485805,0.0,8.233928,67.79756,0.0,91.04609
116,3.2342796,0.0,14.111336,199.12979,0.0,146.8
117,2.3213274,0.0,14.753748,217.67307,0.0,238.24019
118,1.6299305,0.0,7.7463074,60.005276,0.0,89.83247
119,1.930724,0.0,6.482331,42.020615,0.0,122.473816
120,1.9483817,0.0,6.2023263,38.468853,0.0,119.46282
121,2.6136363,0.0,8.028178,64.45165,0.0,87.30001
122,1.8041562,0.0,5.5791845,31.127298,0.0,66.6
123,0.81022215,0.0,3.3835475,11.448394,0.0,51.265152
124,1.1659863,0.0,3.366597,11.333975,0.0,42.440636
125,1.107574,0.0,4.9079394,24.087872,0.0,50.057346
126,1.6518449,0.0,7.27832,52.973938,0.0,80.61801
127,1.7387329,0.0,4.9517484,24.519812,0.0,74.577934
128,1.1306763,0.0,4.474356,20.019861,0.0,58.750664
129,1.2883899,0.0,4.726244,22.337381,0.0,88.96548
130,2.3787358,0.0,6.928155,47.999332,0.0,72.33689
131,1.0947698,0.0,4.915043,24.157646,0.0,97.77823
132,0.9565605,0.0,3.4990096,12.243069,0.0,66.67855
133,1.0282755,0.0,4.934,24.344358,0.0,79.59591
134,1.507896,0.0,4.7917204,22.960585,0.0,66.82723
135,1.9575069,0.0,6.767508,45.799168,0.0,88.623535
136,1.8631487,0.0,5.4478374,29.678932,0.0,73.681175
137,1.2460349,0.0,4.0956006,16.773943,0.0,65.4322
138,1.528064,0.0,4.1077905,16.873943,0.0,46.84778
139,3.0513465,0.0,8.255535,68.153854,0.0,95.80067
140,1.7172607,0.0,5.759113,33.16738,0.0,108.668846
141,2.7507203,0.0,7.8514676,61.645542,0.0,72.40329
142,2.0341847,0.0,5.8434105,34.145447,0.0,54.737762
143,1.6749853,0.0,5.582052,31.15931,0.0,81.79441
144,1.8779503,0.0,5.6176677,31.558187,0.0,53.818306
145,2.669038,0.0,10.162155,103.2694,0.0,159.6046
146,2.018939,0.0,9.30741,86.62789,0.0,212.6453
147,4.096608,0.0,9.218002,84.97157,0.0,87.782936
148,1.1702816,0.0,3.5982625,12.947494,0.0,52.740803
149,2.5212054,0.0,6.082404,36.99564,0.0,74.58066
150,1.9851222,0.0,5.516039,30.426687,0.0,93.45779
151,5.8186755,0.0,15.103052,228.10219,0.0,155.83075
152,3.7284093,0.0,11.36068,129.06505,0.0,210.94658
153,4.1721144,0.0,12.630505,159.52965,0.0,143.15515
154,4.7562776,0.0,17.002716,289.09238,0.0,308.7126
155,4.0797734,0.0,11.729868,137.5898,0.0,165.47897
156,1.3641976,0.0,5.1590376,26.615671,0.0,75.0
157,3.6677213,0.0,8.118884,65.91628,0.0,103.5852
158,6.2171736,0.34102845,11.879192,141.11522,0.0,114.523964
159,4.556268,0.0,10.589551,112.13859,0.0,119.90021
160,3.7890031,0.15092747,7.919723,62.72201,0.0,105.03326
161,4.722115,0.15723337,12.6474285,159.95746,0.0,278.0244
162,5.85495,0.37777817,14.71081,216.40791,0.0,221.99974
163,5.3974876,0.0,13.175595,173.59631,0.0,151.68822
164,7.3517923,0.0,20.502512,420.35303,0.0,315.95502
165,3.860031,0.0,10.197127,103.981415,0.0,102.31915
166,2.9016528,0.0,6.774748,45.897205,0.0,91.82338
167,6.3530993,0.6633866,11.915726,141.98451,0.0,106.23717
168,6.111538,0.0,22.238373,494.54523,0.0,540.26953
169,4.33043,0.0,10.881337,118.403496,0.0,138.15282
170,5.5636444,0.0,14.0665245,197.86711,0.0,121.52275
171,6.110904,0.30623102,14.994743,224.84232,0.0,176.45146
172,6.700942,1.8961371,11.079586,122.757225,0.0,170.14421
173,6.904568,1.2517947,14.521436,210.87209,0.0,204.6707
174,4.610545,0.44134802,9.357485,87.56252,0.0,90.82308
175,4.5416,0.0,10.907065,118.964066,0.0,199.76431
176,6.966715,0.12691319,19.881916,395.29062,0.0,348.59677
177,7.96268,1.6600127,15.970884,255.06915,0.0,158.51909
178,8.3296385,2.0332246,15.079111,227.37958,0.0,194.31712
179,8.46738,2.2670193,14.402285,207.4258,0.0,133.87149
180,11.000359,3.1900463,18.717604,350.34866,0.0,358.34235
181,10.723176,4.276183,18.301771,334.95483,0.0,209.74011
182,11.620889,3.1368623,20.601553,424.42395,0.0,194.93568
183,12.18536,3.0615118,21.945484,481.60425,0.0,237.43161
184,9.583604,3.429278,14.984896,224.54709,0.0,126.99506
185,9.34382,2.3944104,16.048214,257.5452,0.0,154.9035
186,9.210744,0.7054541,16.59492,275.39136,0.0,155.34575
187,6.438271,0.21623269,12.87656,165.8058,0.0,121.39806
188,5.37204,0.32528344,11.355813,128.95448,0.0,188.20567
189,4.291436,0.0,9.934534,98.69497,0.0,87.55198
190,7.1559415,0.0,18.859972,355.69852,0.0,211.43686
191,10.989471,1.0513976,21.99816,483.919,0.0,177.51556
192,11.149915,2.9193978,18.658974,348.15732,0.0,174.73523
193,8.7071295,2.4962418,16.368706,267.93454,0.0,177.10995
194,8.335289,1.9411917,15.895942,252.68095,0.0,153.59184
195,9.6709385,2.1017323,19.518888,380.987,0.0,229.13304
196,9.701721,1.7847428,19.492952,379.97516,0.0,299.7835
197,10.1150675,1.8475934,21.147732,447.2266,0.0,284.2033
198,8.566027,2.3644214,14.853692,220.63217,0.0,230.82483
199,11.596625,2.2132096,22.044947,485.97964,0.0,222.01991
200,13.435204,4.8340225,23.922462,572.28424,0.0,194.2002
201,11.213622,4.0746326,18.68776,349.23236,0.0,189.51349
202,10.99796,3.3429174,17.614702,310.2777,0.0,139.57796
203,10.214301,2.4404392,18.530682,343.38617,0.0,226.78732
204,11.834477,3.3512616,20.885824,436.21768,0.0,272.68408
205,13.301864,3.52834,27.791407,772.3623,0.0,424.70465
206,11.846662,2.4207573,29.324396,859.9202,0.0,416.94577
207,8.391222,0.9509284,18.532057,343.4371,0.0,265.90115
208,7.790389,1.8618541,14.881619,221.46259,0.0,146.95346
209,7.7444963,1.2730442,17.033936,290.15497,0.0,289.9594
210,9.208105,1.6933469,18.437866,339.95493,0.0,210.66223
211,5.723986,0.87933856,10.434681,108.88257,0.0,114.49535
212,5.5449996,1.2054734,10.729709,115.12665,0.0,179.62512
213,6.212111,1.0219716,12.216855,149.25156,0.0,169.75325
214,5.933648,1.3705664,11.443406,130.95155,0.0,116.2314
215,6.250159,1.2618003,10.495579,110.15718,0.0,114.88807
216,6.497988,0.28831962,16.013493,256.43195,0.0,244.03511
217,5.593927,0.0,13.307875,177.09953,0.0,136.34328
218,5.4817796,0.2699902,11.133758,123.96056,0.0,149.11569
219,5.514099,0.47537708,11.020559,121.452736,0.0,122.11344
220,8.612121,1.756753,16.804022,282.37512,0.0,143.27588
221,9.07786,1.4715862,20.09705,403.8914,0.0,206.10487
222,11.297251,2.611207,25.651602,658.00464,0.0,261.4
